MEMNAME;NAME;FORMAT;FORMATL;FORMATD;DATATYPE
DA_PRA_R;CAI_NUM;$;3;0;Integer
DA_PRA_R;CNV_CNV_COD;$;1;0;Integer
DA_PRA_R;EXC_ANT_MTF;$;4;0;Integer
DA_PRA_R;EXC_ANT_NAT;$;4;0;Integer
DA_PRA_R;EXC_EFF_DSD;$;3;0;Integer
DA_PRA_R;EXC_EXC_NAT;$;3;0;Integer
DA_PRA_R;EXC_FIN_MTF;$;2;0;Integer
DA_PRA_R;IPP_ANN_NAI;$;2;0;Integer
DA_PRA_R;IPP_SEX_COD;$;2;0;Integer
DA_PRA_R;PFS_ACP_DSD;$;2;0;Integer
DA_PRA_R;PFS_CAT_COD;$;8;0;Integer
DA_PRA_R;PFS_COD_POS;$;8;0;Integer
DA_PRA_R;PFS_EXC_COM;$;2;0;Integer
DA_PRA_R;PFS_FIN_NUM;$;3;0;Integer
DA_PRA_R;PFS_LIB_COM;$;5;0;Integer
DA_PRA_R;PFS_PFS_NUM;$;30;0;String
DA_PRA_R;PFS_PRA_SPE;$;8;0;Integer
DA_PRA_R;PFS_SPE_ANT;$;2;0;Integer
DA_PRA_R;PRA_IDP_DDP;$;3;0;Integer
DA_PRA_R;PRA_IDP_SAL;$;2;0;Integer
DA_PRA_R;PRA_MEP_COD;$;2;0;Integer
IR_IMB_R;NUM_ENQ;$;19;0;String
IR_IMB_R;BEN_NIR_PSA;$;2;0;String
IR_IMB_R;BEN_RNG_GEM;;2;0;Integer
IR_IMB_R;IMB_ALD_DTD;DATETIME;20;0;Date
IR_IMB_R;IMB_ALD_DTF;DATETIME;20;0;Date
IR_IMB_R;IMB_ALD_NUM;;2;0;Integer
IR_IMB_R;IMB_ETM_NAT;;2;0;Integer
IR_IMB_R;IMB_MLP_BTR;$;2;0;String
IR_IMB_R;IMB_MLP_TAB;$;2;0;String
IR_IMB_R;IMB_SDR_LOP;$;2;0;String
IR_IMB_R;INS_DTE;$;2;0;String
IR_IMB_R;MED_MTF_COD;$;2;0;String
IR_IMB_R;MED_NCL_IDT;$;2;0;String
IR_IMB_R;UPD_DTE;$;2;0;String
